,name,link,industry,location
0,Cpl,https://ie.linkedin.com/company/cpl,Staffing and Recruiting,"Dublin 2, County Dublin"
1,Hays,https://uk.linkedin.com/company/hays,Staffing and Recruiting,"London, England"
2,Sigmar Recruitment,https://ie.linkedin.com/company/sigmar-recruitment,Staffing and Recruiting,
3,Michael Page,https://uk.linkedin.com/company/michael-page,Staffing and Recruiting,"Addlestone, Weybridge"
4,Robert Walters,https://uk.linkedin.com/company/robert-walters,Staffing and Recruiting,"London, Greater London"
5,FRS Recruitment,https://ie.linkedin.com/company/frs-recruitment,Staffing and Recruiting,
6,Robert Half,https://www.linkedin.com/company/robert-half-international,Staffing and Recruiting,"Menlo Park, CA"
7,Google,https://www.linkedin.com/company/google,Software Development,"Mountain View, CA"
8,Deloitte,https://www.linkedin.com/company/deloitte,Business Consulting and Services,
9,Cooper Fitch,https://ae.linkedin.com/company/cooper-fitch,Staffing and Recruiting,
10,Openmarkets Group,https://au.linkedin.com/company/openmarketsgroup,Financial Services,"Sydney, New South Wales"
11,FCX,https://au.linkedin.com/company/fcx,Financial Services,"Surry Hills, New South Wales"
12,Superhero,https://au.linkedin.com/company/superheroau,Financial Services,
13,Selfwealth,https://au.linkedin.com/company/selfwealth-ltd,Financial Services,"Melbourne, VICTORIA"
14,BNY Mellon | Pershing,https://www.linkedin.com/company/bnymellonpershing,Financial Services,"Jersey City, New Jersey"
15,Stake,https://au.linkedin.com/company/hello-stake,Financial Services,"Sydney , New South Wales"
16,LGT Crestone Wealth Management Limited,https://au.linkedin.com/company/lgt-crestone-wealth-management,Financial Services,"Sydney, NSW"
17,AUSIEX,https://au.linkedin.com/company/ausiex,Financial Services,"Sydney, NSW"
18,Shaw and Partners,https://au.linkedin.com/company/shaw-and-partners-limited,Financial Services,"Sydney, NSW"
19,TradeFloor,https://au.linkedin.com/company/tradefloor,Financial Services,"Sydney, NSW"
20,Salesforce,https://www.linkedin.com/company/salesforce,Software Development,"San Francisco, CA"
22,Canva,https://au.linkedin.com/company/canva,Software Development,"Surry Hills, New South Wales"
23,Adobe,https://www.linkedin.com/company/adobe,Software Development,"San Jose, CA"
24,Microsoft,https://www.linkedin.com/company/microsoft,Software Development,"Redmond, Washington"
25,Intuit,https://www.linkedin.com/company/intuit,Software Development,"Mountain View, California"
26,Slack,https://www.linkedin.com/company/tiny-spec-inc,"Technology, Information and Internet","San Francisco, California"
27,Amazon,https://www.linkedin.com/company/amazon,Software Development,"Seattle, WA"
28,Airbnb,https://www.linkedin.com/company/airbnb,Software Development,"San Francisco, CA"
29,Meta,https://www.linkedin.com/company/meta,Software Development,"Menlo Park, CA"
30,Atlassian,https://au.linkedin.com/company/atlassian,Software Development,"Sydney, NSW"
32,Freely,https://au.linkedin.com/company/gofreely,Insurance,
